estaca,x,y
35,614039.1255,9417766.3306
3540,614263.1255,9417702.1726
36,614039.1255,9417770.6886
3541,614263.1255,9417709.6726
37,614039.1255,9417777.9886
3542,614263.1255,9417717.1726
38,614039.1255,9417785.2886
3543,614263.1255,9417721.5306
39,614039.1255,9417792.4886
3544,614263.1255,9417728.8306
40,614039.1255,9417800.4886
3545,614263.1255,9417736.1306
41,614039.1255,9417807.9886
3546,614263.1255,9417743.3306
42,614039.1255,9417815.4886
3547,614263.1255,9417751.3306
43,614039.1255,9417819.8466
3548,614263.1255,9417758.8306
44,614039.1255,9417827.1466
3549,614263.1255,9417766.3306
45,614039.1255,9417834.4466
3550,614263.1255,9417770.6886
46,614039.1255,9417841.6466
3551,614263.1255,9417777.9886
47,614039.1255,9417849.6466
3552,614263.1255,9417785.2886
48,614039.1255,9417857.1466
3553,614263.1255,9417792.4886
49,614039.1255,9417864.6466
3554,614263.1255,9417800.4886
50,614039.1255,9417869.0046
3555,614263.1255,9417807.9886
51,614039.1255,9417876.3046
3556,614263.1255,9417815.4886
52,614039.1255,9417883.6046
3557,614263.1255,9417819.8466
53,614039.1255,9417890.8046
3558,614263.1255,9417827.1466
54,614039.1255,9417898.8046
3559,614263.1255,9417834.4466
55,614039.1255,9417906.3046
3560,614263.1255,9417841.6466
56,614039.1255,9417913.8046
3561,614263.1255,9417849.6466
57,614039.1255,9417918.1626
3562,614263.1255,9417857.1466
58,614039.1255,9417925.4626
3563,614263.1255,9417864.6466
59,614039.1255,9417932.7626
3564,614263.1255,9417869.0046
60,614039.1255,9417939.9626
3565,614263.1255,9417876.3046
61,614039.1255,9417947.9626
3566,614263.1255,9417883.6046
62,614039.1255,9417955.4626
3567,614263.1255,9417890.8046
63,614039.1255,9417962.9626
3568,614263.1255,9417898.8046
64,614039.1255,9417967.3206
3569,614263.1255,9417906.3046
65,614039.1255,9417974.6206
3570,614263.1255,9417913.8046
66,614039.1255,9417981.9206
3571,614263.1255,9417918.1626
