estaca,x,y
132,-37.9709081669247,-5.26049427329626
3637,-37.9688860440045,-5.26107576967866
133,-37.9709082783757,-5.26042643518721
3638,-37.9688861631324,-5.26100340907656
134,-37.9709083431355,-5.26038701672325
3639,-37.9688862748132,-5.26093557101194
135,-37.9709084516123,-5.2603209876302
3640,-37.9688863864926,-5.26086773294718
136,-37.9709085600876,-5.26025495853701
3641,-37.9688864513851,-5.26082831450895
137,-37.9709086670757,-5.26018983395182
3642,-37.9688865600841,-5.26076228545901
138,-37.9709087859497,-5.26011747330144
3643,-37.9688866687817,-5.26069625640894
139,-37.9709088973926,-5.26004963519155
3644,-37.968886775989,-5.26063113186625
140,-37.9709090088341,-5.25998179708151
3645,-37.9688868951067,-5.26055877126311
141,-37.9709090735884,-5.25994237861698
3646,-37.9688870067779,-5.26049093319751
142,-37.9709091820558,-5.25987634952298
3647,-37.9688871184477,-5.26042309513176
143,-37.9709092905219,-5.25981032042883
3648,-37.9688871833347,-5.26038367669296
144,-37.9709093975008,-5.2597451958427
3649,-37.9688872920244,-5.26031764764206
145,-37.9709095163646,-5.25967283519128
3650,-37.9688874007127,-5.26025161859103
146,-37.970909627798,-5.25960499708041
3651,-37.9688875079108,-5.26018649404741
147,-37.9709097392299,-5.25953715896939
3652,-37.9688876270182,-5.26011413344322
148,-37.9709098039786,-5.25949774050428
3653,-37.9688877386799,-5.26004629537664
149,-37.9709099124368,-5.25943171140934
3654,-37.9688878503401,-5.25997845730991
150,-37.9709100208935,-5.25936568231424
3655,-37.9688879152215,-5.25993903887055
151,-37.9709101278633,-5.25930055772716
3656,-37.9688880239019,-5.25987300981869
152,-37.9709102467169,-5.25922819707469
3657,-37.9688881325809,-5.2598069807667
153,-37.9709103581407,-5.25916035896284
3658,-37.9688882397698,-5.25974185622214
154,-37.9709104695631,-5.25909252085085
3659,-37.968888358867,-5.25966949561691
155,-37.9709105343062,-5.25905310238516
3660,-37.9688884705192,-5.25960165754935
156,-37.9709106427551,-5.25898707328926
3661,-37.9688885821698,-5.25953381948164
157,-37.9709107512026,-5.25892104419321
3662,-37.9688886470456,-5.25949440104169
158,-37.9709108581631,-5.2588559196052
3663,-37.9688887557167,-5.2594283719889
159,-37.9709109770066,-5.25878355895168
3664,-37.9688888643864,-5.25936234293595
160,-37.9709110884209,-5.25871572083885
3665,-37.9688889715662,-5.25929721839045
161,-37.9709111998337,-5.25864788272587
3666,-37.9688890906532,-5.25922485778417
162,-37.9709112645713,-5.25860846425961
3667,-37.9688892022957,-5.25915701971563
163,-37.9709113730108,-5.25854243516276
3668,-37.9688893139368,-5.25908918164694
164,-37.970911481449,-5.25847640606576
3669,-37.9688893788071,-5.25904976320642
165,-37.9709115884004,-5.2584112814768
3670,-37.9688894874688,-5.25898373415267
166,-37.9709117072337,-5.25833892082224
3671,-37.9688895961292,-5.25891770509877
167,-37.9709118186384,-5.25827108270843
3672,-37.9688897032997,-5.25885258055233
168,-37.9709119300417,-5.25820324459447
3673,-37.9688898223765,-5.25878021994501
169,-37.9709119947737,-5.25816382612764
3674,-37.9688899340095,-5.25871238187548
170,-37.970912103204,-5.25809779702984
3675,-37.968890045641,-5.25864454380581
171,-37.9709122116329,-5.25803176793188
3676,-37.9688901105057,-5.25860512536472
172,-37.9709123185751,-5.25796664334198
3677,-37.9688902191582,-5.25853909631002
173,-37.9709124373982,-5.25789428268637
3678,-37.9688903278092,-5.25847306725516
174,-37.9709125487933,-5.25782644457158
3679,-37.9688904349706,-5.25840794270778
175,-37.970912660187,-5.25775860645665
3680,-37.9688905540372,-5.25833558209941
176,-37.9709127249135,-5.25771918798925
3681,-37.9688906656606,-5.25826774402891
177,-37.9709128333345,-5.25765315889047
3682,-37.9688907772825,-5.25819990595826
178,-37.9709129417541,-5.25758712979157
3683,-37.9688908421417,-5.2581604875166
179,-37.9709130486871,-5.25752200520072
3684,-37.9688909507848,-5.25809445846094
180,-37.9709131675,-5.25744964454406
3685,-37.9688910594266,-5.25802842940513
181,-37.9709132788856,-5.2573818064283
3686,-37.9688911665787,-5.25796330485681
182,-37.9709133902698,-5.25731396831238
3687,-37.9688912856351,-5.25789094424739
183,-37.9709134549907,-5.25727454984443
3688,-37.9688913972489,-5.25782310617591
184,-37.9709135634024,-5.2572085207447
3689,-37.9688915088613,-5.25775526810428
185,-37.9709136718127,-5.25714249164485
3690,-37.9688915737149,-5.25771584966204
186,-37.9709137787366,-5.25707736705305
3691,-37.9688916823487,-5.25764982060542
187,-37.9709138975393,-5.25700500639535
3692,-37.9688917909811,-5.25758379154867
188,-37.9709140089154,-5.2569371682786
3693,-37.9688918981241,-5.25751866699939
189,-37.9709141202899,-5.2568693301617
3694,-37.9688920171703,-5.25744630638893
190,-37.9709141850053,-5.25682991169318
3695,-37.9688921287745,-5.25737846831647
191,-37.9709142934077,-5.2567638825925
3696,-37.9688922403774,-5.25731063024386
192,-37.9709144018087,-5.25669785349169
3697,-37.9688923052254,-5.25727121180107
193,-37.9709145087234,-5.25663272889896
3698,-37.9688924138499,-5.25720518274349
194,-37.970914627516,-5.25656036824021
3699,-37.968892522473,-5.25713915368579
195,-37.9709147388824,-5.25649253012248
3700,-37.9688926296068,-5.25707402913557
196,-37.9709148502475,-5.2564246920046
3701,-37.9688927486427,-5.25700166852406
197,-37.9709149149573,-5.25638527353551
3702,-37.9688928602374,-5.25693383045062
198,-37.9709150233504,-5.25631924443388
3703,-37.9688929718307,-5.25686599237703
